年月日,曜日,平均気温(℃),最高気温(℃),最低気温(℃),エリア
2024年9月5日,木,29.6,33.5,27.3,那覇
2024年9月6日,金,29.6,33.3,27.1,那覇
2024年9月7日,土,28.7,32.6,25.2,那覇
2024年9月8日,日,29.6,33.6,26.9,那覇
2024年9月9日,月,27.6,28.7,25.4,那覇
2024年9月10日,火,29,31.4,27.3,那覇
2024年9月11日,水,27.5,28.9,26.1,那覇
2024年9月12日,木,29.6,32.2,27.5,那覇
2024年9月13日,金,28.1,31.7,25.8,那覇
2024年9月14日,土,28.8,31.7,25.8,那覇
2024年9月15日,日,29.9,32.4,28.4,那覇
2024年9月16日,月,29.8,32.4,27.8,那覇
2024年9月17日,火,28.9,32.2,26.7,那覇
2024年9月18日,水,28.2,31.1,26.5,那覇
2024年9月19日,木,28.6,30.8,27.4,那覇
2024年9月20日,金,29.1,32.1,25.1,那覇
2024年9月21日,土,30,32.1,28.2,那覇
2024年9月22日,日,30,32.2,27.7,那覇
2024年9月23日,月,29.5,32.5,27.6,那覇
2024年9月24日,火,28,30.9,26,那覇
2024年9月25日,水,28,31,25.1,那覇
2024年9月26日,木,28.7,31.6,26.3,那覇
2024年9月27日,金,28.6,32.6,25.2,那覇
2024年9月28日,土,26.7,28.2,25.2,那覇
2024年9月29日,日,26.8,30.1,23.9,那覇
2024年9月30日,月,28,30.4,25.5,那覇
2024年10月1日,火,29.1,31.9,27.2,那覇
2024年10月2日,水,28.9,30.9,25.6,那覇
2024年10月3日,木,27.5,31.9,25.3,那覇
2024年10月4日,金,27.3,29,25.5,那覇
2024年10月5日,土,28,31,26.1,那覇
2024年10月6日,日,28.5,31.6,26.8,那覇
2024年10月7日,月,28.2,32.1,26.1,那覇
2024年10月8日,火,26.8,29.9,24.8,那覇
2024年10月9日,水,27.1,29.6,25.1,那覇
2024年10月10日,木,25.8,28.5,23,那覇
2024年10月11日,金,26.1,29.1,22.5,那覇
2024年10月12日,土,27.6,30.6,25.5,那覇
2024年10月13日,日,28,31.2,25.8,那覇
2024年10月14日,月,27.9,30.7,25.6,那覇
2024年10月15日,火,27.4,29.7,25.4,那覇
2024年10月16日,水,27.4,29.9,26.1,那覇
2024年10月17日,木,27.7,31.6,24.7,那覇
2024年10月18日,金,28.4,31.2,26.5,那覇
2024年10月19日,土,28.3,31.8,25.5,那覇
2024年10月20日,日,27.8,29.9,26.4,那覇
2024年10月21日,月,28.2,31,25.9,那覇
2024年10月22日,火,28.5,31.6,26.9,那覇
2024年10月23日,水,27.6,30.6,25.4,那覇
2024年10月24日,木,25.5,26.5,24,那覇
2024年10月25日,金,27.3,28.9,23.1,那覇
2024年10月26日,土,28,30.3,26.5,那覇
2024年10月27日,日,27.8,30.8,25.4,那覇
2024年10月28日,月,27.6,30.4,25.6,那覇
2024年10月29日,火,25.6,26.2,24.9,那覇
2024年10月30日,水,27.7,30.4,24.8,那覇
2024年10月31日,木,28.7,30.6,27.7,那覇
2024年11月1日,金,28.4,30.6,25.4,那覇
2024年11月2日,土,27,28.5,25.7,那覇
2024年11月3日,日,26.3,28.8,24.8,那覇
2024年11月4日,月,26.6,28.8,24.8,那覇
2024年11月5日,火,25.4,28.1,23.6,那覇
2024年11月6日,水,23.2,24.8,22.2,那覇
2024年11月7日,木,22.6,24.2,21.4,那覇
2024年11月8日,金,25.6,26.4,23.9,那覇
2024年11月9日,土,25.7,28.2,24,那覇
2024年11月10日,日,27,30.2,25.3,那覇
2024年11月11日,月,26.6,28.7,25,那覇
2024年11月12日,火,25.4,27.6,24.3,那覇
2024年11月13日,水,25.7,27.9,24.4,那覇
2024年11月14日,木,26.8,29.3,25.4,那覇
2024年11月15日,金,26.5,29,24.8,那覇
2024年11月16日,土,24.4,25.8,23.6,那覇
2024年11月17日,日,25.4,28.5,24.1,那覇
2024年11月18日,月,23.6,25.3,22.5,那覇
2024年11月19日,火,23.3,25,22.1,那覇
2024年11月20日,水,23.8,25.5,22.8,那覇
2024年11月21日,木,22.5,24.9,21.1,那覇
2024年11月22日,金,21.1,23.2,19.2,那覇
2024年11月23日,土,21.6,24.4,19.3,那覇
2024年11月24日,日,21.9,24.9,19.5,那覇
2024年11月25日,月,22.5,25.8,18.3,那覇
2024年11月26日,火,22.5,27.6,20.1,那覇
2024年11月27日,水,20.1,22.1,18.8,那覇
2024年11月28日,木,18.8,20.7,17.9,那覇
2024年11月29日,金,18.2,20.3,17.4,那覇
2024年11月30日,土,19,21.2,17.7,那覇
2024年12月1日,日,19.6,23.3,15.7,那覇
2024年12月2日,月,20.8,23.9,17.2,那覇
2024年12月3日,火,21.8,25.4,18.6,那覇
2024年12月4日,水,20.9,23.5,18.7,那覇
2024年12月5日,木,20.2,21.7,18.7,那覇
2024年12月6日,金,21,24.6,19,那覇
2024年12月7日,土,19.3,19.9,18.6,那覇
2024年12月8日,日,18.3,19.7,17,那覇
2024年12月9日,月,18,20.8,15.4,那覇
2024年12月10日,火,19.1,22.7,16.5,那覇
2024年12月11日,水,19.3,23.9,16.2,那覇
2024年12月12日,木,20.2,22.4,19,那覇
2024年12月13日,金,20.2,23.1,17.6,那覇
2024年12月14日,土,17.8,18.8,16.1,那覇
2024年12月15日,日,17.1,19.2,15.6,那覇
2024年12月16日,月,17.1,18.1,16.2,那覇
2024年12月17日,火,18,21,14.5,那覇
2024年12月18日,水,17.2,20.2,15.4,那覇
2024年12月19日,木,16,17.3,14.6,那覇
2024年12月20日,金,18.1,21.7,15.8,那覇
2024年12月21日,土,18.2,22.1,15.9,那覇
2024年12月22日,日,16.4,17.5,15.3,那覇
2024年12月23日,月,17.6,20.7,15.1,那覇
2024年12月24日,火,17.9,19.2,17.2,那覇
2024年12月25日,水,19.7,23.1,16.9,那覇
2024年12月26日,木,18.5,23,16.5,那覇
2024年12月27日,金,18.6,20.6,17.5,那覇
2024年12月28日,土,16.3,17.9,14.3,那覇
2024年12月29日,日,16,18.1,14.7,那覇
2024年12月30日,月,18.7,21.7,14.4,那覇
2024年12月31日,火,18.7,21.5,15.8,那覇
2025年1月1日,水,17.8,20.7,14.6,那覇
2025年1月2日,木,18.8,20.3,16.5,那覇
2025年1月3日,金,18.2,19.5,17,那覇
2025年1月4日,土,16.9,19.1,15.9,那覇
2025年1月5日,日,18.6,22.5,15.6,那覇
2025年1月6日,月,18.2,20,16,那覇
2025年1月7日,火,15.6,17.1,15,那覇
2025年1月8日,水,15.7,18.6,13.1,那覇
2025年1月9日,木,15.9,17.7,14.4,那覇
2025年1月10日,金,13.6,14.9,12.2,那覇
2025年1月11日,土,14.3,17.5,11.5,那覇
2025年1月12日,日,15,16.9,13.9,那覇
2025年1月13日,月,15,17,13.2,那覇
2025年1月14日,火,16.4,20.6,12,那覇
2025年1月15日,水,17.2,20.8,15,那覇
2025年1月16日,木,15.9,17.9,14.9,那覇
2025年1月17日,金,15.3,17.8,12.6,那覇
2025年1月18日,土,16.5,20.5,12.2,那覇
2025年1月19日,日,17.9,19.5,16.4,那覇
2025年1月20日,月,18.6,21.5,16.7,那覇
2025年1月21日,火,17.2,19.9,14.6,那覇
2025年1月22日,水,17.6,21.4,14.6,那覇
2025年1月23日,木,19.2,22.7,16.5,那覇
2025年1月24日,金,20.2,23.2,16.7,那覇
2025年1月25日,土,19.6,22,18.3,那覇
2025年1月26日,日,19,22.2,16.5,那覇
2025年1月27日,月,15.3,18.3,13.4,那覇
2025年1月28日,火,13.7,16,12.9,那覇
2025年1月29日,水,13.9,15.8,12.8,那覇
2025年1月30日,木,14.4,18,11,那覇
2025年1月31日,金,17.9,20.7,12.9,那覇
2025年2月1日,土,19.4,20.7,17.8,那覇
2025年2月2日,日,18.7,21.1,17.2,那覇
2025年2月3日,月,15.7,17.9,13.3,那覇
2025年2月4日,火,12.8,14.2,11.8,那覇
2025年2月5日,水,13.7,15.9,12,那覇
2025年2月6日,木,14.4,17.1,12.1,那覇
2025年2月7日,金,12.2,13.6,10.8,那覇
2025年2月8日,土,11.4,13,10.2,那覇
2025年2月9日,日,12.6,15.7,10.2,那覇
2025年2月10日,月,14.6,18.4,10.9,那覇
2025年2月11日,火,17,20.9,12.8,那覇
2025年2月12日,水,20.4,22.6,18.2,那覇
2025年2月13日,木,15.9,20.5,15,那覇
2025年2月14日,金,16.5,19.5,14.4,那覇
2025年2月15日,土,18.4,21.2,15.4,那覇
2025年2月16日,日,20.2,22.3,18.2,那覇
2025年2月17日,月,17.4,19.7,15.2,那覇
2025年2月18日,火,15.3,17.5,14.3,那覇
2025年2月19日,水,15.4,18.3,13,那覇
2025年2月20日,木,15.7,17.5,14.8,那覇
2025年2月21日,金,15.1,16.4,13.7,那覇
2025年2月22日,土,16.1,19,14.2,那覇
2025年2月23日,日,14.1,16.4,12.8,那覇
2025年2月24日,月,13,14.4,12.3,那覇
2025年2月25日,火,14.6,18.3,11.9,那覇
2025年2月26日,水,16.1,20.5,12.5,那覇
2025年2月27日,木,19.4,22.5,16.3,那覇
2025年2月28日,金,21.1,24.3,19.2,那覇
2025年3月1日,土,21.6,25,18.8,那覇
2025年3月2日,日,23.1,26.4,21.6,那覇
2025年3月3日,月,23.3,25.8,22,那覇
2025年3月4日,火,22.7,26.6,20.8,那覇
2025年3月5日,水,19.9,22.2,18.8,那覇
2025年3月6日,木,16.7,19,15,那覇
2025年3月7日,金,16.5,18.2,15,那覇
2025年3月8日,土,18.9,22.1,17.3,那覇
2025年3月9日,日,19,22.1,15.8,那覇
2025年3月10日,月,21.4,24.7,18.9,那覇
2025年3月11日,火,21.8,25.4,20.2,那覇
2025年3月12日,水,22.2,25.7,19.2,那覇
2025年3月13日,木,22.7,24.1,22,那覇
2025年3月14日,金,21.9,25.2,20.2,那覇
2025年3月15日,土,21,24,19.4,那覇
2025年3月16日,日,17.6,20.7,15.2,那覇
2025年3月17日,月,14.3,15.6,13.3,那覇
2025年3月18日,火,15,16.1,13.8,那覇
2025年3月19日,水,14.5,17.1,13.1,那覇
2025年3月20日,木,15.6,18.5,13.1,那覇
2025年3月21日,金,16.8,20.4,13.9,那覇
2025年3月22日,土,17.3,22,12.2,那覇
2025年3月23日,日,18.4,23.4,13.7,那覇
2025年3月24日,月,20.7,24.5,16.2,那覇
2025年3月25日,火,22.4,25.2,20.5,那覇
2025年3月26日,水,23.1,25.5,21.7,那覇
2025年3月27日,木,24.2,26.2,23.2,那覇
2025年3月28日,金,21.2,24.1,18.5,那覇
2025年3月29日,土,17.5,20.5,15.8,那覇
2025年3月30日,日,15.2,17,14.1,那覇
2025年3月31日,月,15.6,16.9,13.8,那覇
2025年4月1日,火,18.4,21.5,16.2,那覇
2025年4月2日,水,18.4,21,15.4,那覇
2025年4月3日,木,18,21.3,14.2,那覇
2025年4月4日,金,17.8,21.4,14.1,那覇
2025年4月5日,土,18.7,20.5,15.8,那覇
2025年4月6日,日,17.8,18.8,16.6,那覇
2025年4月7日,月,19.6,23.6,16.4,那覇
2025年4月8日,火,19.6,24.2,15.7,那覇
2025年4月9日,水,20.4,23.9,17.4,那覇
2025年4月10日,木,18.7,20.5,17.2,那覇
2025年4月11日,金,21.4,25.4,17.6,那覇
2025年4月12日,土,22.4,25,19,那覇
2025年4月13日,日,16.1,23.9,13.6,那覇
2025年4月14日,月,18.8,22.6,13.8,那覇
2025年4月15日,火,20.3,22.5,17.6,那覇
2025年4月16日,水,20.1,23.6,15.8,那覇
2025年4月17日,木,22.3,25.7,18.7,那覇
2025年4月18日,金,19.9,22.9,17.8,那覇
2025年4月19日,土,22.5,25.5,20,那覇
2025年4月20日,日,23.6,25.2,22.2,那覇
2025年4月21日,月,23.6,27.1,21.6,那覇
2025年4月22日,火,23.9,26.9,21.2,那覇
2025年4月23日,水,23.2,25.7,21.4,那覇
2025年4月24日,木,22.1,24.1,20.9,那覇
2025年4月25日,金,20.2,22.8,17.7,那覇
2025年4月26日,土,20.3,22.7,18.2,那覇
2025年4月27日,日,21.9,24.6,20,那覇
2025年4月28日,月,22.2,24.4,19.9,那覇
2025年4月29日,火,21.4,24.1,19,那覇
2025年4月30日,水,21.1,25.3,16.7,那覇
2025年5月1日,木,22.9,26,20.6,那覇
2025年5月2日,金,22.5,24.6,19.1,那覇
2025年5月3日,土,22.6,27.1,17.2,那覇
2025年5月4日,日,24.5,26.7,23.2,那覇
2025年5月5日,月,24.4,27.2,22.9,那覇
2025年5月6日,火,23.5,25.7,21.6,那覇
2025年5月7日,水,21.1,23.7,17.7,那覇
2025年5月8日,木,22.5,24.2,19.5,那覇
2025年5月9日,金,26.4,29.9,22.9,那覇
2025年5月10日,土,23.3,26.4,21.4,那覇
2025年5月11日,日,19.3,22.2,17.2,那覇
2025年5月12日,月,20,21.8,18.1,那覇
2025年5月13日,火,22.6,25.2,19.9,那覇
2025年5月14日,水,24.5,27.9,22,那覇
2025年5月15日,木,25.3,28.6,23.8,那覇
2025年5月16日,金,27,30.3,24.7,那覇
2025年5月17日,土,27.7,30.5,25.5,那覇
2025年5月18日,日,28.1,30.9,26.1,那覇
2025年5月19日,月,28.2,30.5,26.6,那覇
2025年5月20日,火,28.7,32.3,27,那覇
2025年5月21日,水,28.5,31.1,27,那覇
2025年5月22日,木,25.7,27.7,21.4,那覇
2025年5月23日,金,27.4,30.6,24.3,那覇
2025年5月24日,土,26.7,29.1,24.2,那覇
2025年5月25日,日,22,24.4,20.3,那覇
2025年5月26日,月,20.8,22.1,18.8,那覇
2025年5月27日,火,23.9,27.1,21.1,那覇
2025年5月28日,水,24.4,27.4,22.4,那覇
2025年5月29日,木,23,25.5,21.9,那覇
2025年5月30日,金,24.3,26.7,22,那覇
2025年5月31日,土,24,27,20.9,那覇
2025年6月1日,日,24,27.3,21,那覇
2025年6月2日,月,27.5,30.2,23.4,那覇
2025年6月3日,火,26.1,28.8,23.4,那覇
2025年6月4日,水,23,24.7,20.1,那覇
2025年6月5日,木,24.6,26.2,23.6,那覇
2025年6月6日,金,25.3,27.7,23.3,那覇
2025年6月7日,土,28.3,31.4,25.4,那覇
2025年6月8日,日,29.1,31.9,27.6,那覇
2025年6月9日,月,29.1,32.1,27.4,那覇
2025年6月10日,火,29.4,31.8,27.8,那覇
2025年6月11日,水,29.6,32.7,27.6,那覇
2025年6月12日,木,29.7,32.1,27.9,那覇
2025年6月13日,金,29.3,31.9,26.3,那覇
2025年6月14日,土,28.8,31.6,25.1,那覇
2025年6月15日,日,29.5,32,28.3,那覇
2025年6月16日,月,29.7,31.9,28.6,那覇
2025年6月17日,火,29.4,32.1,26.6,那覇
2025年6月18日,水,29.2,31.9,27.6,那覇
2025年6月19日,木,29.5,32.8,26.9,那覇
2025年6月20日,金,29.7,32.6,27.4,那覇
2025年6月21日,土,29.3,32.6,26.3,那覇
2025年6月22日,日,29.4,32.1,27.2,那覇
2025年6月23日,月,29.8,32.2,27.6,那覇
2025年6月24日,火,30.2,33.3,28,那覇
2025年6月25日,水,28.7,31.6,26.9,那覇
2025年6月26日,木,28.6,32.1,26.9,那覇
2025年6月27日,金,29.3,33,26.5,那覇
2025年6月28日,土,30,33.1,28.1,那覇
2025年6月29日,日,30.3,33.4,27.5,那覇
2025年6月30日,月,30.2,33.1,27.8,那覇
2025年7月1日,火,30.2,32.9,28.4,那覇
2025年7月2日,水,29.6,32.4,28,那覇
2025年7月3日,木,29.5,31.8,28,那覇
2025年7月4日,金,29.5,33.3,27.7,那覇
2025年7月5日,土,29.1,32.3,27.2,那覇
2025年7月6日,日,29.4,32.3,27.4,那覇
2025年7月7日,月,29.8,32.9,24.9,那覇
2025年7月8日,火,26.6,31.9,23.6,那覇
2025年7月9日,水,27.9,31.3,25.4,那覇
2025年7月10日,木,28.4,31.6,26.2,那覇
2025年7月11日,金,28.2,31.1,26.1,那覇
2025年7月12日,土,29.7,32.4,27.2,那覇
2025年7月13日,日,29.8,32,27.7,那覇
2025年7月14日,月,28.8,31.5,25.6,那覇
2025年7月15日,火,29,32.6,26.1,那覇
2025年7月16日,水,29.9,33,27.3,那覇
2025年7月17日,木,29,32.3,27.1,那覇
2025年7月18日,金,29.3,31.9,27.1,那覇
2025年7月19日,土,29.4,31.5,26.8,那覇
2025年7月20日,日,28.5,31.5,26.5,那覇
2025年7月21日,月,28.9,31.4,26.6,那覇
2025年7月22日,火,29.1,31.7,26.3,那覇
2025年7月23日,水,28.9,31.7,26.8,那覇
2025年7月24日,木,27.5,28.5,25.1,那覇
2025年7月25日,金,29.4,32,27.4,那覇
2025年7月26日,土,28.5,31.4,26.9,那覇
2025年7月27日,日,28,29.3,27.1,那覇
2025年7月28日,月,28.2,30.9,26.5,那覇
2025年7月29日,火,29.1,31.8,27.5,那覇
2025年7月30日,水,29.2,32.9,27.2,那覇
2025年7月31日,木,29.3,32.2,27.6,那覇
2025年8月1日,金,29.7,32.3,27.8,那覇
2025年8月2日,土,28.8,31.8,26.1,那覇
2025年8月3日,日,29.4,32.4,27.5,那覇
2025年8月4日,月,30,32.7,28,那覇
2025年8月5日,火,29.9,32.3,28.9,那覇
2025年8月6日,水,29.9,32.8,28.4,那覇
2025年8月7日,木,29.5,32,28.1,那覇
2025年8月8日,金,29.6,32.1,27.8,那覇
2025年8月9日,土,29.9,32.2,28.3,那覇
2025年8月10日,日,29.8,32.4,28,那覇
2025年8月11日,月,30,33.3,27.9,那覇
2025年8月12日,火,29.9,32.8,27.4,那覇
2025年8月13日,水,29.7,32.4,27.5,那覇
2025年8月14日,木,29.5,32.4,27.4,那覇
2025年8月15日,金,29.3,32.2,25.5,那覇
2025年8月16日,土,29.2,32.3,26.1,那覇
2025年8月17日,日,29.2,32.7,25.9,那覇
2025年8月18日,月,28.4,32,26,那覇
2025年8月19日,火,27.6,30.5,24.3,那覇
2025年8月20日,水,29.3,32.1,27.5,那覇
2025年8月21日,木,29.3,32.8,25.6,那覇
2025年8月22日,金,29.1,31.7,26.3,那覇
2025年8月23日,土,29.3,32.2,27.3,那覇
2025年8月24日,日,29.9,33.2,26.6,那覇
2025年8月25日,月,29.7,32.9,27.6,那覇
2025年8月26日,火,29.6,32.5,26.9,那覇
2025年8月27日,水,30,32.8,27.5,那覇
2025年8月28日,木,29.7,33,27.1,那覇
2025年8月29日,金,29.9,33.2,26.9,那覇
2025年8月30日,土,29.1,32,27,那覇
2025年8月31日,日,29.6,32.6,27.8,那覇
2025年9月1日,月,29.8,33.2,26.5,那覇
2025年9月2日,火,28.6,33.2,26,那覇
2025年9月3日,水,29.3,32.1,26.4,那覇
2025年9月4日,木,30.1,32.7,27.7,那覇
2025年9月5日,金,30.5,33.4,28.2,那覇
2025年9月6日,土,30,33.2,27.8,那覇
2025年9月7日,日,29.5,33.6,26.9,那覇
2025年9月8日,月,29.5,32.8,27.2,那覇
2025年9月9日,火,29.4,32.6,26.9,那覇
2025年9月10日,水,29.6,32.9,27.5,那覇
2025年9月11日,木,29.6,33.3,27.7,那覇
2025年9月12日,金,29.8,34,27.3,那覇
2025年9月13日,土,29,32.4,26.8,那覇
2025年9月14日,日,29.8,33.2,27.4,那覇
2025年9月15日,月,30.2,33.4,28.1,那覇
2025年9月16日,火,29.9,33.1,28.2,那覇
2025年9月17日,水,30.1,33.3,27.9,那覇
2025年9月18日,木,30,33,28,那覇
2025年9月19日,金,30.1,33.4,28.2,那覇
2025年9月20日,土,29.9,33.7,28.1,那覇
2025年9月21日,日,29.9,32.6,28.2,那覇
2025年9月22日,月,29.8,33,26.8,那覇
2025年9月23日,火,29.8,32.8,26.6,那覇
2025年9月24日,水,29.6,32.4,28.1,那覇
2025年9月25日,木,29.8,32.6,27.9,那覇
2025年9月26日,金,29.8,32.9,27.5,那覇
2025年9月27日,土,29.6,33.1,27.9,那覇
2025年9月28日,日,29,31.9,27.1,那覇
2025年9月29日,月,29,31.7,26.4,那覇
2025年9月30日,火,29.4,32.5,26.9,那覇
2025年10月1日,水,29.4,32.7,27.6,那覇
2025年10月2日,木,29.4,32.7,26.8,那覇
2025年10月3日,金,30.1,34.2,27.2,那覇
2025年10月4日,土,29.7,32.7,27.3,那覇
2025年10月5日,日,29.7,32.9,27.4,那覇
2025年10月6日,月,30,32.5,28.3,那覇
2025年10月7日,火,29.6,32.3,27.7,那覇
2025年10月8日,水,29.4,31.8,28.1,那覇
2025年10月9日,木,29,31.1,27.1,那覇
2025年10月10日,金,29,31.2,26.9,那覇
2025年10月11日,土,29.2,31.4,27.9,那覇
2025年10月12日,日,28.8,31.6,27.1,那覇
2025年10月13日,月,28.5,31.8,26.1,那覇
2025年10月14日,火,28.9,33.3,25.9,那覇
2025年10月15日,水,29.1,32.7,26.8,那覇
2025年10月16日,木,28.9,33.5,27,那覇
2025年10月17日,金,28.9,31.6,27,那覇
2025年10月18日,土,29.3,32.4,27,那覇
2025年10月19日,日,28.2,30,25.1,那覇
2025年10月20日,月,25.8,28,23.6,那覇
2025年10月21日,火,25.6,27.2,23.5,那覇
2025年10月22日,水,26.3,29.7,24.2,那覇
2025年10月23日,木,27,30,22.4,那覇
2025年10月24日,金,27.8,31.1,25.9,那覇
2025年10月25日,土,27.7,30.1,25.5,那覇
2025年10月26日,日,27,28.7,25.8,那覇
2025年10月27日,月,25.6,27,24.7,那覇
2025年10月28日,火,24,26.1,21.6,那覇
2025年10月29日,水,24.7,27.7,22,那覇
2025年10月30日,木,26.1,28.2,24.5,那覇
2025年10月31日,金,25.9,29.1,24.6,那覇
2025年11月1日,土,24.9,26.5,22.6,那覇
2025年11月2日,日,24,26.5,21.7,那覇
2025年11月3日,月,23.8,26,22.7,那覇
2025年11月4日,火,24.7,27.9,22.6,那覇
2025年11月5日,水,23.2,25.2,21.4,那覇
2025年11月6日,木,24.4,28.2,21.4,那覇
2025年11月7日,金,25.1,29.4,22.8,那覇
2025年11月8日,土,26,28.5,24.1,那覇
2025年11月9日,日,26.3,30.2,23.4,那覇
2025年11月10日,月,24.8,25.5,23.6,那覇
2025年11月11日,火,24.8,26,23,那覇
2025年11月12日,水,27.2,29.7,24.9,那覇
2025年11月13日,木,26.7,30.2,21.1,那覇
2025年11月14日,金,23.9,26.7,21.2,那覇
2025年11月15日,土,24.2,26.9,22.7,那覇
2025年11月16日,日,25.5,28.1,22.8,那覇
2025年11月17日,月,24.8,27.2,22.6,那覇
2025年11月18日,火,21.4,23.5,19.9,那覇
2025年11月19日,水,20.4,21.5,19.2,那覇
2025年11月20日,木,21,22.9,19.8,那覇
2025年11月21日,金,21.9,23.9,20.2,那覇
2025年11月22日,土,22,25.7,19.5,那覇
2025年11月23日,日,22.2,25.9,19.4,那覇
2025年11月24日,月,22.7,26,19.8,那覇
2025年11月25日,火,21.3,23.8,18.9,那覇
2025年11月26日,水,20.4,22.5,18.8,那覇
2025年11月27日,木,21.1,22.9,19.7,那覇
2025年11月28日,金,20.1,21.3,18.5,那覇
2025年11月29日,土,20.2,24.3,17.1,那覇
2025年11月30日,日,21.6,26,16.6,那覇
2025年12月1日,月,22.9,24.6,21.2,那覇
2025年12月2日,火,22.9,25.6,20.3,那覇
2025年12月3日,水,21,23.1,18.8,那覇
2025年12月4日,木,18.1,19.8,17.1,那覇
2025年12月5日,金,18.7,21.5,16.6,那覇
2025年12月6日,土,19.6,23,15.7,那覇
2025年12月7日,日,20.7,23.7,18.5,那覇
2025年12月8日,月,21.6,24.5,19.3,那覇
2025年12月9日,火,21,23.5,18.9,那覇
2025年12月10日,水,20.9,23.9,18.2,那覇
2025年12月11日,木,22.2,26.4,19.8,那覇
2025年12月12日,金,21.8,23.8,19.6,那覇
2025年12月13日,土,22.5,25.8,20.1,那覇
2025年12月14日,日,18.2,22,16.8,那覇
2025年12月15日,月,17.9,20.9,14.8,那覇
2025年12月16日,火,18.5,22.4,14.2,那覇
2025年12月17日,水,19.9,24.1,16.2,那覇
2025年12月18日,木,20,23,18,那覇
2025年12月19日,金,21.5,22.9,17.5,那覇
2025年12月20日,土,20.4,22.5,18.9,那覇
2025年12月21日,日,20.7,22.5,19.4,那覇
2025年12月22日,月,19.5,21.5,18.1,那覇
2025年12月23日,火,21.8,24.6,17.8,那覇
2025年12月24日,水,21.6,23.8,18.8,那覇
2025年12月25日,木,18.3,21.2,15.5,那覇
2025年12月26日,金,15.7,17.4,13.4,那覇
2025年12月27日,土,17,20.4,13.5,那覇
2025年12月28日,日,18.7,21.4,16.7,那覇
2025年12月29日,月,18.4,20.8,15.8,那覇
2025年12月30日,火,21.4,23.9,19,那覇
2025年12月31日,水,19.6,22,17.6,那覇
2026年1月1日,木,16.7,17.7,15.6,那覇
2026年1月2日,金,15.1,17.1,12.6,那覇
2026年1月3日,土,14.3,16.9,11.9,那覇
2026年1月4日,日,15.8,19.8,12,那覇
2026年1月5日,月,17.5,22.5,12.4,那覇
2026年1月6日,火,17.7,19.9,16.9,那覇
2026年1月7日,水,16.5,17.9,15.7,那覇
2026年1月8日,木,16.3,18.9,14.8,那覇
2026年1月9日,金,15.4,18.2,13.1,那覇
2026年1月10日,土,17.3,20.1,12.6,那覇
2026年1月11日,日,15.9,18.4,14.2,那覇
2026年1月12日,月,15.3,18.7,12.4,那覇
2026年1月13日,火,17.1,20.1,13.6,那覇
2026年1月14日,水,17.3,20.6,13.2,那覇
2026年1月15日,木,18.3,22.6,14.9,那覇
2026年1月16日,金,19.3,23.9,14.2,那覇
2026年1月17日,土,21,23.4,19.5,那覇
2026年1月18日,日,21,23.8,19,那覇
2026年1月19日,月,21,24.9,18.9,那覇
2026年1月20日,火,18.2,19.6,16.3,那覇
2026年1月21日,水,15.1,16.9,13.1,那覇
2026年1月22日,木,13.8,16.5,11.5,那覇
2026年1月23日,金,15.4,18.8,12.7,那覇
2026年1月24日,土,16.3,19,14.2,那覇
2026年1月25日,日,16.7,19.8,14,那覇
2026年1月26日,月,18.5,20.8,15.9,那覇
2026年1月27日,火,19.5,21.8,16.6,那覇
2026年1月28日,水,16.8,19.3,14.7,那覇
2026年1月29日,木,16,19.5,13,那覇
2026年1月30日,金,17.4,21.4,12.8,那覇
2026年1月31日,土,19,21.8,16.5,那覇
2026年2月1日,日,16.7,18.7,15.3,那覇
2026年2月2日,月,16.3,18.1,15,那覇
2026年2月3日,火,15.7,18.2,14.1,那覇
2026年2月4日,水,16.8,21.3,12.3,那覇
2026年2月5日,木,19.2,23.1,14.6,那覇
2026年2月6日,金,20.5,24,19.1,那覇
2026年2月7日,土,16.9,19.4,14.6,那覇
2026年2月8日,日,12.1,14.8,9.3,那覇
2026年2月9日,月,12.7,14.8,9.6,那覇
2026年2月10日,火,17.5,21.2,13,那覇
2026年2月11日,水,17.8,19.8,15.7,那覇
2026年2月12日,木,16.5,19.2,14.1,那覇
2026年2月13日,金,16.4,21.1,12.4,那覇
2026年2月14日,土,18.9,23.1,13.8,那覇
2026年2月15日,日,20.9,24.6,17.6,那覇
2026年2月16日,月,20.9,24.5,19.1,那覇
2026年2月17日,火,17.6,19.2,16.2,那覇
2026年2月18日,水,16.7,18.1,14.7,那覇
2026年2月19日,木,16.2,19.6,13,那覇
2026年2月20日,金,17,21.1,13.5,那覇
2026年2月21日,土,19.2,23.9,14.3,那覇
2026年2月22日,日,21.2,24.4,19.3,那覇
2026年2月23日,月,21,25,17.5,那覇
2026年2月24日,火,21.4,24.2,20.1,那覇
2026年2月25日,水,20.5,22.5,18.9,那覇
2026年2月26日,木,20.6,24.4,17.3,那覇
2026年2月27日,金,20.6,22.7,18.8,那覇
2026年2月28日,土,21.4,23.9,19.5,那覇
2026年3月1日,日,21.3,23.2,19.8,那覇
2026年3月2日,月,22.1,25.4,20.3,那覇
2026年3月3日,火,19.8,22.5,18.5,那覇
2026年3月4日,水,20.3,23.5,18.4,那覇
2026年3月5日,木,20.3,21.9,19.2,那覇
2026年3月6日,金,21,24.7,18.1,那覇
2026年3月7日,土,17.7,19.1,16.3,那覇
2026年3月8日,日,17.2,20.3,14.1,那覇
